"X","Y","gr1","gr2","gr3","gr4"
347725,8553775,0.000587026281198817,0.15886835408544,3.85256521670918e-05,0.840506093981194
347775,8553775,0.000313041522245173,0.0492237897492951,1.89978631848243e-05,0.950444170865275
347825,8553775,7.07413926242949e-05,0.00343037815086265,6.40130095621567e-06,0.996492479155557
347875,8553775,6.10225800076555e-05,0.000878935441784781,8.73659255585765e-06,0.999051305385652
347925,8553775,0.0506644247171594,0.124095852901781,0.137476145572484,0.687763576808576
347975,8553775,0.00238419917263535,0.0804777555654528,0.000107680762488853,0.917030364499423
347025,8553825,0.000109174089291032,0.00332139531576308,6.91983093423418e-06,0.996562510764012
347075,8553825,0.000103233978480602,0.00611297010911691,6.72792876932994e-06,0.993777067983633
347125,8553825,0.000280108499180203,0.251429258845673,1.38538364606803e-05,0.748276778818686
347175,8553825,0.000111520026718906,0.0048402364370414,7.50479752662405e-06,0.995040738738713
347225,8553825,0.821864031411446,0.148004325287987,0.00307283441742644,0.0270588088831405
347275,8553825,0.0545025391281712,0.0924394668423742,0.0075892239004235,0.845468770129033
347325,8553825,0.0211146233014358,0.0903416050396589,0.00816744980075514,0.880376321858154
347375,8553825,0.0141564329160907,0.0980193227148603,0.00855726198308874,0.879266982385962
347425,8553825,0.011056805981914,0.0920635812622613,0.00877168549447746,0.888107927261349
347475,8553825,0.000137826317557619,0.0181792847028059,3.14674210210405e-06,0.981679742237534
347525,8553825,5.66813940957456e-05,0.000564293561687515,3.67542515311519e-06,0.999375349619064
347575,8553825,0.0139503794718586,0.0900486413944227,0.13296500619755,0.763035972936169
347625,8553825,0.000353422759337339,0.00161417823472481,7.4990217477272e-06,0.99802489998419
347675,8553825,0.000110679116291114,0.000839439194143853,1.42264856161382e-05,0.999035655203949
347725,8553825,0.00311134065147985,0.35047793423809,0.000436355577139063,0.645974369533291
347775,8553825,0.000586050410796318,0.0698263191627793,0.000146084517751546,0.929441545908673
347825,8553825,7.93053468902109e-05,0.00438348955128805,4.28529844991527e-06,0.995532919803372
347875,8553825,0.000107366722117474,0.00178117731639233,5.89524803760576e-06,0.998105560713453
347925,8553825,0.000592724355403566,0.00995789558215928,0.00045805292124517,0.988991327141192
347975,8553825,0.00256166277297131,0.13093724392839,3.83666867764195e-05,0.866462726611862
347025,8553875,0.000136048045284224,0.00769775412556007,9.40900407660983e-06,0.992156788825079
