"X","Y","median","q99","nobs"
344375,8553825,15.6,23.74,25000
344425,8553025,15.81,23.12,25000
344425,8553075,15.68,21.52,25000
344425,8553125,14.22,20.21,25000
344425,8553175,15.23,19.8,25000
344425,8553225,15.69,21.1401,25000
344425,8553275,14.75,20.55,25000
344425,8553325,16.53,21.18,25000
344425,8553375,16.37,21.28,25000
344425,8553425,14.89,19.77,25000
344425,8553475,15.12,23.83,25000
344425,8553525,15.35,26.58,25000
344425,8553575,15.76,23.08,25000
344425,8553625,14.77,20.2,25000
344425,8553675,15.13,20.27,25000
344425,8553725,16.41,22.3301,25000
344425,8553775,16.44,21.24,25000
344425,8553825,14.78,19.84,25000
344425,8553875,13.74,19.75,13109
344475,8553025,15.25,21.01,25000
344475,8553075,17.46,25.44,25000
344475,8553125,16.15,20.73,25000
344475,8553175,15.34,20.41,25000
344475,8553225,16.05,24.0301,25000
344475,8553275,15.22,20.7501,25000
344475,8553325,16.57,22.0901,25000
344475,8553375,15.43,23.08,25000
344475,8553425,15.53,24.7,25000
344475,8553475,16.1,21.3,25000
344475,8553525,16.165,22.63,25000
344475,8553575,16.66,21.8301,25000
344475,8553625,16.51,23.9301,25000
344475,8553675,17.195,23.7101,25000
344475,8553725,15.46,25.9,25000
344475,8553775,12.7,19.98,25000
344475,8553825,14.59,22.1,25000
344475,8553875,12.41,18.43,15196
344525,8553025,17.41,23.0601,25000
344525,8553075,16.26,21.5001,25000
344525,8553125,15.41,20.0301,25000
344525,8553175,15.02,19.83,25000
344525,8553225,16.59,20.94,25000
344525,8553275,14.92,24.3501,25000
344525,8553325,15.295,23.34,25000
344525,8553375,15.87,30.09,25000
344525,8553425,15.81,23.59,25000
344525,8553475,14.05,21.36,25000
344525,8553525,16.18,21.65,25000
344525,8553575,15.99,21.16,25000
344525,8553625,16.87,23,25000
344525,8553675,17.09,22.47,25000
344525,8553725,14.55,21.97,25000
344525,8553775,12.18,19.74,25000
344525,8553825,15.17,22.91,25000
344525,8553875,13.68,19.2276,17825
344575,8553025,16.2,21.11,25000
344575,8553075,15.13,20.74,25000
344575,8553125,15.54,21.8,25000
344575,8553175,16.67,23.29,25000
344575,8553225,16.85,22,25000
344575,8553275,15.06,22.1,25000
344575,8553325,14.41,21.6403999999999,25000
344575,8553375,17.89,24.27,25000
344575,8553425,18.09,23.38,25000
344575,8553475,17.36,22.95,25000
344575,8553525,16.56,20.83,25000
344575,8553575,15.76,20.5701,25000
344575,8553625,15.77,20.3,25000
344575,8553675,16.07,23.21,25000
344575,8553725,14.77,21.37,25000
344575,8553775,14.73,21.28,25000
344575,8553825,14.51,22.16,25000
344575,8553875,15.63,19.59,20345
344625,8553025,17.3,22.56,25000
344625,8553075,15.08,20.2201,25000
344625,8553125,15.48,22.93,25000
344625,8553175,16.01,24.19,25000
344625,8553225,16.23,21.89,25000
344625,8553275,15.73,22.49,25000
344625,8553325,16.65,21.56,25000
344625,8553375,16.24,25.61,25000
344625,8553425,17.7,24.35,25000
344625,8553475,17.82,23.2901,25000
344625,8553525,15.22,21.97,25000
344625,8553575,16.445,23.69,25000
344625,8553625,17.11,26.05,25000
344625,8553675,15.46,25.22,25000
344625,8553725,16.12,21.0901,25000
344625,8553775,16.355,20.8301,25000
344625,8553825,16.82,26.1001,25000
344625,8553875,17.33,23.9089,23212
344675,8553025,15.53,20.9201,25000
344675,8553075,15.42,20.02,25000
344675,8553125,15.7,21.63,25000
344675,8553175,14.68,20.29,25000
344675,8553225,14.36,25.43,25000
344675,8553275,14.88,22.23,25000
344675,8553325,15.9,23.16,25000
344675,8553375,18,25.2901,25000
344675,8553425,17.41,23.15,25000
344675,8553475,16.99,26.1301,25000
344675,8553525,14.45,20.77,25000
344675,8553575,16.32,24.3901,25000
344675,8553625,17.08,22.69,25000
344675,8553675,15.52,21.1801,25000
344675,8553725,15.29,22.18,25000
344675,8553775,15.975,21.66,25000
344675,8553825,16.14,30.08,25000
344675,8553875,15.44,19.87,24984
344725,8553025,18.42,24,25000
344725,8553075,14.28,22.1901,25000
344725,8553125,15.62,25.58,25000
