"X","Y","fire.treat","edge"
348425,8553375,"1x","interior"
348475,8553375,"1x","interior"
348525,8553375,"1x","interior"
348575,8553375,"1x","interior"
348625,8553375,"1x","interior"
348675,8553375,"1x","interior"
348725,8553375,"1x","interior"
348775,8553375,"1x","interior"
348325,8553425,"1x","interior"
348375,8553425,"1x","interior"
348425,8553425,"1x","interior"
348475,8553425,"1x","interior"
348525,8553425,"1x","interior"
348575,8553425,"1x","interior"
348625,8553425,"1x","interior"
348675,8553425,"1x","interior"
348725,8553425,"1x","interior"
348775,8553425,"1x","interior"
348325,8553475,"1x","interior"
348375,8553475,"1x","interior"
348425,8553475,"1x","interior"
348475,8553475,"1x","interior"
348525,8553475,"1x","interior"
348575,8553475,"1x","interior"
348625,8553475,"1x","interior"
348675,8553475,"1x","interior"
348725,8553475,"1x","interior"
348775,8553475,"1x","interior"
348325,8553525,"1x","interior"
348375,8553525,"1x","interior"
348425,8553525,"1x","interior"
348475,8553525,"1x","interior"
348525,8553525,"1x","interior"
348575,8553525,"1x","interior"
348625,8553525,"1x","interior"
348675,8553525,"1x","interior"
348725,8553525,"1x","interior"
348775,8553525,"1x","interior"
348325,8553575,"1x","interior"
348375,8553575,"1x","interior"
348425,8553575,"1x","interior"
348475,8553575,"1x","interior"
348525,8553575,"1x","interior"
348575,8553575,"1x","interior"
348625,8553575,"1x","interior"
348675,8553575,"1x","interior"
348725,8553575,"1x","interior"
348775,8553575,"1x","interior"
348325,8553625,"1x","interior"
348375,8553625,"1x","interior"
348425,8553625,"1x","interior"
348475,8553625,"1x","interior"
348525,8553625,"1x","interior"
348575,8553625,"1x","interior"
348625,8553625,"1x","interior"
348675,8553625,"1x","interior"
348725,8553625,"1x","interior"
348775,8553625,"1x","interior"
348325,8553675,"1x","interior"
348375,8553675,"1x","interior"
348425,8553675,"1x","interior"
348475,8553675,"1x","interior"
348525,8553675,"1x","interior"
348575,8553675,"1x","interior"
348625,8553675,"1x","interior"
348675,8553675,"1x","interior"
348725,8553675,"1x","interior"
348775,8553675,"1x","interior"
348325,8553725,"1x","edge"
348375,8553725,"1x","edge"
348425,8553725,"1x","edge"
348475,8553725,"1x","edge"
348525,8553725,"1x","edge"
348575,8553725,"1x","edge"
348625,8553725,"1x","edge"
348675,8553725,"1x","edge"
348725,8553725,"1x","edge"
348775,8553725,"1x","edge"
348325,8553775,"1x","edge"
348375,8553775,"1x","edge"
348425,8553775,"1x","edge"
348475,8553775,"1x","edge"
348525,8553775,"1x","edge"
348575,8553775,"1x","edge"
348625,8553775,"1x","edge"
348675,8553775,"1x","edge"
348725,8553775,"1x","edge"
348775,8553775,"1x","edge"
348325,8553825,"1x","edge"
348375,8553825,"1x","edge"
348425,8553825,"1x","edge"
348475,8553825,"1x","edge"
348525,8553825,"1x","edge"
348575,8553825,"1x","edge"
348625,8553825,"1x","edge"
348675,8553825,"1x","edge"
348725,8553825,"1x","edge"
348775,8553825,"1x","edge"
348325,8553875,"1x","edge"
348375,8553875,"1x","edge"
348425,8553875,"1x","edge"
348475,8553875,"1x","edge"
348525,8553875,"1x","edge"
348575,8553875,"1x","edge"
348625,8553875,"1x","edge"
348675,8553875,"1x","edge"
348725,8553875,"1x","edge"
348775,8553875,"1x","edge"
348325,8553925,"1x","edge"
348375,8553925,"1x","edge"
348425,8553925,"1x","edge"
348475,8553925,"1x","edge"
348525,8553925,"1x","edge"
348575,8553925,"1x","edge"
348625,8553925,"1x","edge"
348675,8553925,"1x","edge"
348725,8553925,"1x","edge"
348775,8553925,"1x","edge"
348325,8553975,"1x","edge"
348375,8553975,"1x","edge"
348425,8553975,"1x","edge"
348475,8553975,"1x","edge"
348525,8553975,"1x","edge"
348575,8553975,"1x","edge"
348625,8553975,"1x","edge"
348675,8553975,"1x","edge"
348725,8553975,"1x","edge"
348775,8553975,"1x","edge"
348325,8554025,"1x","edge"
348375,8554025,"1x","edge"
348425,8554025,"1x","edge"
348475,8554025,"1x","edge"
348525,8554025,"1x","edge"
348575,8554025,"1x","edge"
348625,8554025,"1x","edge"
348675,8554025,"1x","edge"
348725,8554025,"1x","edge"
348775,8554025,"1x","edge"
