"X","Y","fire.treat","Parcela","dist.borda"
349425,8554175,"6x","C",0
349475,8554175,"6x","C",0
349525,8554175,"6x","C",0
349575,8554175,"6x","C",0
349625,8554175,"6x","C",0
349675,8554175,"6x","C",0
348325,8553225,"1x","D",950
348375,8553225,"1x","D",950
348425,8553225,"1x","D",950
348475,8553225,"1x","D",950
348525,8553225,"1x","D",950
348575,8553225,"1x","D",950
348625,8553225,"1x","D",950
348675,8553225,"1x","D",950
348725,8553225,"1x","D",950
348775,8553225,"1x","D",950
348325,8553275,"1x","D",900
348375,8553275,"1x","D",900
348425,8553275,"1x","D",900
348475,8553275,"1x","D",900
348525,8553275,"1x","D",900
348575,8553275,"1x","D",900
348625,8553275,"1x","D",900
348675,8553275,"1x","D",900
348725,8553275,"1x","D",900
348775,8553275,"1x","D",900
348325,8553325,"1x","D",850
348375,8553325,"1x","D",850
348425,8553325,"1x","D",850
348475,8553325,"1x","D",850
348525,8553325,"1x","D",850
348575,8553325,"1x","D",850
348625,8553325,"1x","D",850
348675,8553325,"1x","D",850
348725,8553325,"1x","D",850
348775,8553325,"1x","D",850
348325,8553375,"1x","D",800
348375,8553375,"1x","D",800
348425,8553375,"1x","D",800
348475,8553375,"1x","D",800
348525,8553375,"1x","D",800
348575,8553375,"1x","D",800
348625,8553375,"1x","D",800
348675,8553375,"1x","D",800
348725,8553375,"1x","D",800
348775,8553375,"1x","D",800
348325,8553425,"1x","D",750
348375,8553425,"1x","D",750
348425,8553425,"1x","D",750
348475,8553425,"1x","D",750
348525,8553425,"1x","D",750
348575,8553425,"1x","D",750
348625,8553425,"1x","D",750
348675,8553425,"1x","D",750
348725,8553425,"1x","D",750
348775,8553425,"1x","D",750
348325,8553475,"1x","D",700
348375,8553475,"1x","D",700
348425,8553475,"1x","D",700
348475,8553475,"1x","D",700
348525,8553475,"1x","D",700
348575,8553475,"1x","D",700
348625,8553475,"1x","D",700
348675,8553475,"1x","D",700
348725,8553475,"1x","D",700
348775,8553475,"1x","D",700
348325,8553525,"1x","D",650
348375,8553525,"1x","D",650
348425,8553525,"1x","D",650
348475,8553525,"1x","D",650
348525,8553525,"1x","D",650
348575,8553525,"1x","D",650
348625,8553525,"1x","D",650
348675,8553525,"1x","D",650
348725,8553525,"1x","D",650
348775,8553525,"1x","D",650
348325,8553575,"1x","D",600
348375,8553575,"1x","D",600
348425,8553575,"1x","D",600
348475,8553575,"1x","D",600
348525,8553575,"1x","D",600
348575,8553575,"1x","D",600
348625,8553575,"1x","D",600
348675,8553575,"1x","D",600
348725,8553575,"1x","D",600
348775,8553575,"1x","D",600
348325,8553625,"1x","D",550
348375,8553625,"1x","D",550
348425,8553625,"1x","D",550
348475,8553625,"1x","D",550
348525,8553625,"1x","D",550
348575,8553625,"1x","D",550
348625,8553625,"1x","D",550
348675,8553625,"1x","D",550
348725,8553625,"1x","D",550
348775,8553625,"1x","D",550
348325,8553675,"1x","D",500
348375,8553675,"1x","D",500
348425,8553675,"1x","D",500
348475,8553675,"1x","D",500
348525,8553675,"1x","D",500
348575,8553675,"1x","D",500
348625,8553675,"1x","D",500
348675,8553675,"1x","D",500
348725,8553675,"1x","D",500
348775,8553675,"1x","D",500
348325,8553725,"1x","D",450
348375,8553725,"1x","D",450
348425,8553725,"1x","D",450
348475,8553725,"1x","D",450
348525,8553725,"1x","D",450
348575,8553725,"1x","D",450
348625,8553725,"1x","D",450
348675,8553725,"1x","D",450
348725,8553725,"1x","D",450
348775,8553725,"1x","D",450
348325,8553775,"1x","D",400
348375,8553775,"1x","D",400
348425,8553775,"1x","D",400
348475,8553775,"1x","D",400
348525,8553775,"1x","D",400
348575,8553775,"1x","D",400
348625,8553775,"1x","D",400
348675,8553775,"1x","D",400
348725,8553775,"1x","D",400
348775,8553775,"1x","D",400
348325,8553825,"1x","D",350
348375,8553825,"1x","D",350
348425,8553825,"1x","D",350
348475,8553825,"1x","D",350
348525,8553825,"1x","D",350
348575,8553825,"1x","D",350
348625,8553825,"1x","D",350
348675,8553825,"1x","D",350
348725,8553825,"1x","D",350
348775,8553825,"1x","D",350
348325,8553875,"1x","D",300
348375,8553875,"1x","D",300
348425,8553875,"1x","D",300
348475,8553875,"1x","D",300
348525,8553875,"1x","D",300
